27.6,44.0
27.6,44.0
27.6,44.0
27.6,44.0
27.6,44.0
27.6,44.0
27.6,43.0
44.4,24.0
44.4,24.0
44.4,25.0
44.5,25.0
44.6,26.0
44.5,26.0
44.4,27.0
44.4,27.0
44.4,28.0
44.4,28.0
44.4,29.0
43.9,30.0
43.5,31.0
43.5,31.0
43.0,30.0
43.0,30.0
43.0,30.0
43.0,30.0
43.4,30.0
43.5,31.0
43.5,31.0
43.5,31.0
43.5,32.0
43.5,32.0
43.5,33.0
43.5,34.0
43.9,36.0
43.9,37.0
43.9,38.0
43.9,40.0
43.9,41.0
43.9,45.0
44.0,47.0
44.0,51.0
43.9,54.0
43.9,58.0
43.9,62.0
43.9,66.0
43.9,69.0
43.9,76.0
43.9,80.0
43.9,83.0
43.9,85.0
43.6,86.0
43.5,87.0
43.0,89.0
42.2,90.0
41.6,91.0
40.8,91.0
40.1,98.0
38.2,98.0
37.4,98.0
36.9,98.0
35.6,98.0
34.8,98.0
34.2,94.0
33.8,94.0
32.8,95.0
31.8,95.0
30.8,95.0
30.8,95.0
30.8,95.0
30.8,95.0
30.8,95.0
30.8,95.0
30.8,95.0
31.3,95.0
31.3,98.0
31.3,98.0
31.8,98.0
31.8,98.0
31.8,98.0
31.9,98.0
32.3,98.0
32.3,98.0
32.3,98.0
32.8,98.0
32.8,98.0
32.8,98.0
33.3,98.0
33.3,98.0
33.3,98.0
33.3,98.0
33.3,98.0
33.3,98.0
33.3,98.0
33.3,98.0
32.8,98.0
32.8,98.0
32.8,95.0
32.0,94.0
32.3,94.0
31.8,94.0
31.3,94.0
30.6,92.0
30.8,92.0
29.8,92.0
28.7,90.0
28.0,88.0
27.6,88.0
27.6,84.0
27.1,77.0
27.1,76.0
26.7,59.0
26.7,60.0
26.7,60.0
26.3,59.0
26.2,59.0
26.2,59.0
26.2,60.0
26.2,60.0
26.2,61.0
26.2,57.0
26.2,55.0
25.8,54.0
25.3,52.0
25.3,49.0
24.8,47.0
24.5,45.0
24.5,42.0
24.5,41.0
24.5,41.0
24.5,41.0
24.5,41.0
24.5,41.0
24.5,41.0
24.5,42.0
24.5,42.0
24.8,42.0
24.8,42.0
24.8,43.0
24.8,43.0
24.8,43.0
24.8,43.0
24.8,44.0
24.8,44.0
24.8,44.0
24.8,45.0
24.8,45.0
24.9,46.0
25.3,47.0
25.3,47.0
25.3,48.0
25.3,48.0
25.3,49.0
25.3,49.0
25.3,52.0
25.3,53.0
25.3,56.0
25.3,57.0
25.3,58.0
25.3,59.0
25.3,60.0
25.3,61.0
25.3,62.0
25.3,62.0
25.3,63.0
25.3,63.0
24.8,64.0
24.8,65.0
24.8,68.0
