24.8,43.0
24.8,43.0
24.8,43.0
24.8,44.0
24.8,44.0
24.8,44.0
24.8,45.0
24.8,45.0
24.9,46.0
25.3,47.0
25.3,47.0
25.3,48.0
25.3,48.0
25.3,49.0
25.3,49.0
25.3,52.0
25.3,53.0
25.3,56.0
25.3,57.0
25.3,58.0
25.3,59.0
25.3,60.0
25.3,61.0
25.3,62.0
25.3,62.0
25.3,63.0
25.3,63.0
24.8,64.0
24.8,65.0
24.8,68.0
44.4,24.0
44.4,24.0
44.4,25.0
44.5,25.0
44.6,26.0
44.5,26.0
44.4,27.0
44.4,27.0
44.4,28.0
44.4,28.0
44.4,29.0
43.9,30.0
43.5,31.0
43.5,31.0
43.0,30.0
43.0,30.0
25.3,48.0
25.3,49.0
25.3,49.0
25.3,52.0
25.3,53.0
25.3,56.0
25.3,57.0
25.3,58.0
25.3,59.0
25.3,60.0
25.3,61.0
25.3,62.0
25.3,62.0
25.3,61.0
25.3,62.0
25.3,62.0
44.4,24.0
44.4,24.0
44.4,25.0
44.5,25.0
